authority_record_id,source_filename,content_summary,record_origin,record_creator_if_known,creation_context,program_scope,institutional_or_program_level,supersedes_other_record,superseded_by_other_record,duplicate_or_near_duplicate,active_operational_relevance,historical_evidence_value,authority_claims_inside_record,conflicting_authority_claims,provenance_complete
FAR-CL-012,CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,Quarantine register JSON for protective holds.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-013,CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,Quarantine register Markdown.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-014,CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,Source root map JSON of known CL roots.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-015,CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,Source root map Markdown.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-016,CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,Phase 00B Cursor disk inventory reconciliation JSON.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-017,CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,Phase 00B Cursor disk inventory reconciliation Markdown.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-018,CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,Phase 00B status update; substantively complete pending ingestion.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-019,CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,Phase 00C package integrity patch packet for inventory output consistency.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-020,CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,JSON Schema for CL migration manifests including repository_posture enum and copy gates.,Repo Phase 02C planning repair,Phase 02C repair agent under human planning authority,Supersession of Phase 02 schemas after QC repair,Crisis Liturgies builder contracts,PROGRAM,YES — CL_MIGRATION_MANIFEST.schema.json (Phase 02),NO,NO,YES — current schema candidate,MEDIUM,Field canonical_repo_root; posture must remain REPOSITORY_CANDIDATE until institutional ratification,NO if field semantics follow RAT-CL-002,YES
FAR-CL-021,CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,JSON Schema for external binary reference (xbin) records.,Repo Phase 02C planning repair,Phase 02C repair agent under human planning authority,Revised builder schema pair with migration manifest schema,Crisis Liturgies builder contracts,PROGRAM,YES — CL_EXTERNAL_BINARY_REFERENCE.schema.json (Phase 02),NO,NO,YES,MEDIUM,Schema contract only; no institutional claim language detected,NO,YES
