decision_id,batch_id,source_absolute_path,exact_target_parent,exact_target_path,target_parent_exists,target_parent_empty_or_compatible,target_exists,required_status_label,status_label_application_method,source_content_modification_required,destination_wrapper_required,destination_sidecar_required,admission_condition_status
RAT-FILE-CL-012,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,YES,YES,NO,"ADMITTED PHASE EVIDENCE — NONOPERATIVE

This record documents a completed planning or evidence phase.
It does not establish current program, repository, or institutional authority.",DESTINATION_ADMISSION_SIDECAR,NO,NO,YES,DEFINED_SIDECAR_AT_COPY
RAT-FILE-CL-013,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,YES,YES,NO,"ADMITTED PHASE EVIDENCE — NONOPERATIVE

This record documents a completed planning or evidence phase.
It does not establish current program, repository, or institutional authority.",DESTINATION_ADMISSION_SIDECAR,NO,NO,YES,DEFINED_SIDECAR_AT_COPY
RAT-FILE-CL-014,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,YES,YES,NO,"ADMITTED PHASE EVIDENCE — NONOPERATIVE

This record documents a completed planning or evidence phase.
It does not establish current program, repository, or institutional authority.",DESTINATION_ADMISSION_SIDECAR,NO,NO,YES,DEFINED_SIDECAR_AT_COPY
RAT-FILE-CL-015,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,YES,YES,NO,"ADMITTED PHASE EVIDENCE — NONOPERATIVE

This record documents a completed planning or evidence phase.
It does not establish current program, repository, or institutional authority.",DESTINATION_ADMISSION_SIDECAR,NO,NO,YES,DEFINED_SIDECAR_AT_COPY
RAT-FILE-CL-016,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,YES,YES,NO,"ADMITTED PHASE EVIDENCE — NONOPERATIVE

This record documents a completed planning or evidence phase.
It does not establish current program, repository, or institutional authority.",DESTINATION_ADMISSION_SIDECAR,NO,NO,YES,DEFINED_SIDECAR_AT_COPY
RAT-FILE-CL-017,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,YES,YES,NO,"ADMITTED PHASE EVIDENCE — NONOPERATIVE

This record documents a completed planning or evidence phase.
It does not establish current program, repository, or institutional authority.",DESTINATION_ADMISSION_SIDECAR,NO,NO,YES,DEFINED_SIDECAR_AT_COPY
RAT-FILE-CL-018,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,YES,YES,NO,"ADMITTED PHASE EVIDENCE — NONOPERATIVE

This record documents a completed planning or evidence phase.
It does not establish current program, repository, or institutional authority.",DESTINATION_ADMISSION_SIDECAR,NO,NO,YES,DEFINED_SIDECAR_AT_COPY
RAT-FILE-CL-019,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,YES,YES,NO,"ADMITTED PHASE EVIDENCE — NONOPERATIVE

This record documents a completed planning or evidence phase.
It does not establish current program, repository, or institutional authority.",DESTINATION_ADMISSION_SIDECAR,NO,NO,YES,DEFINED_SIDECAR_AT_COPY
RAT-FILE-CL-020,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,YES,YES,NO,The Crisis Liturgies program root within the active repository candidate. It does not declare permanent Gradient repository authority.,DESTINATION_MANIFEST_METADATA,NO,NO,NO,DEFINED_MANIFEST_METADATA
RAT-FILE-CL-021,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,YES,YES,NO,The Crisis Liturgies program root within the active repository candidate. It does not declare permanent Gradient repository authority.,DESTINATION_MANIFEST_METADATA,NO,NO,NO,DEFINED_MANIFEST_METADATA
